,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022
'Barrie_and_District',220900,219100,217500,218900,221800,223800,224500,226500,228800,226900,229600,232500,230800,234600,236000,235800,235100,238400,237800,238500,238200,238100,233400,235400,237400,240900,242700,241900,244900,247300,247200,249900,250200,249300,250600,248000,250200,256300,257100,255600,259200,261800,258600,256700,256300,254800,249900,245900,245000,246500,247100,247900,252100,256200,256600,257300,257900,260200,260400,264000,259500,262300,265300,269200,270700,269500,270900,269600,265700,264400,264300,264600,264000,267200,267800,274700,277900,277700,274700,276100,277900,276500,278700,277400,277600,280000,282200,289000,290500,291600,292200,293400,293400,290500,294900,293400,291200,296100,299700,302900,307900,308400,309400,308800,314500,311900,310200,309200,312600,315000,319800,322900,331300,332500,333900,331100,332700,332800,331800,330900,329100,341600,347500,351200,354300,359800,362600,366000,368400,370400,370500,372400,380100,393500,400700,411900,420100,430500,436000,442300,451600,454600,459100,464800,476000,517100,549500,562100,556300,542000,523700,513700,508100,506200,502100,500100,509500,510700,516000,521000,523000,510800,505700,511400,505800,510500,500900,504100,501000,510300,507800,518200,518900,528600,528100,528500,525000,530800,531900,534000,534800,554900,561900,558500,567400,576300,589200,602300,622000,640900,654500,669100,699100,755200,781200,792300,794900,806100,814000,823200,842000,877600,902300,929400,992000,1058100,1063800,1041700,1003100,949800,908600,869700
'Brantford_Region',173000,172400,176900,174800,179600,179900,180600,179100,182300,179800,172800,184100,179000,186300,190400,195200,202100,198700,196400,195200,194100,196300,196700,196300,193900,193000,200100,200000,201500,204000,206600,207000,207000,202100,205600,199900,213000,208500,209600,210800,213200,212700,213400,214900,209100,205700,205400,200000,200200,194500,200500,202700,201100,199300,200600,199200,205700,201800,204900,210800,206100,204500,204500,214900,214500,214000,214300,215000,216600,212700,205600,215800,208100,216400,219900,220200,227400,225000,227400,225300,232200,230400,226900,228800,234800,234000,234000,238500,239300,247800,246000,238800,239200,240900,243700,242400,251300,245500,252600,253500,256300,257200,261500,259700,257300,253500,251600,256300,251600,260400,266300,264500,264600,261400,264800,265400,261700,266000,263800,267200,266700,271800,271800,276400,279700,280800,284300,292000,290200,291100,295400,293900,292600,303400,311100,314500,321400,326400,331500,333200,337400,344000,347100,342300,361400,373700,380600,399200,405800,397800,390800,380000,396200,385800,390600,387600,400200,398300,416700,414900,409900,415200,404500,409300,404200,413500,409900,405500,411400,413900,434600,434100,439400,435500,448300,442900,446000,449900,453000,451300,468400,469400,468600,468400,478900,493500,507300,525000,533900,536400,548700,555200,587000,618300,653600,686200,676100,698900,689700,706800,724400,737700,770300,775700,881600,898900,890900,852900,816300,778500,735000,729900
'Cambridge',213800,212500,217900,219200,222000,223400,223000,219200,221700,222400,228500,224200,221000,225700,232500,235000,236700,232100,227000,229600,231000,234000,228000,229000,231700,231600,234200,238600,240900,243800,241000,243400,245100,245300,245200,243200,248100,245400,250500,252300,256400,256200,253400,251200,251900,247800,244600,242500,239600,242900,247300,247900,249100,249900,249900,251500,254700,247700,252100,249700,252300,256400,257800,264100,266900,266400,264500,273000,268300,264700,265200,268600,267800,271500,272700,277500,277200,274100,274800,278100,274400,279500,278100,271700,282300,284600,289400,288200,287200,290800,291500,293600,296900,283000,289800,286000,288700,296600,300700,299700,299000,298300,306900,300600,306300,297900,298900,297200,305200,303000,305500,311200,314400,316300,311700,309700,316400,315400,317100,316600,315300,316200,327500,329000,327700,325800,330000,331300,331600,336200,330700,336900,335700,353400,354600,361100,364400,370100,379700,386300,389800,401500,410000,394800,434300,442100,471700,480500,471700,454400,447700,450100,448200,446800,451400,447500,466000,467500,473500,467200,476100,473400,466600,478500,473600,475600,463200,465600,479600,489600,491700,488200,504000,506300,511000,508000,513700,515000,523000,530700,549700,560500,564500,545300,551000,570500,585300,595300,616800,619400,626600,653300,678200,713900,761500,763500,764800,764300,779800,774700,811100,850000,875200,917700,985600,1055800,984100,919500,865300,824100,789500,764700
'Grey_Bruce_Owen_Sound',173300,174300,175300,176300,177300,178300,176500,174900,173300,174500,175700,177000,180300,183800,187600,189200,190900,192700,192900,193100,193400,192200,190900,189800,191000,192500,194300,199300,204500,209900,207700,205600,203500,207000,210800,214700,212900,211200,208700,211400,213900,216000,215100,214200,213600,212800,212300,212100,208000,204200,200200,203000,206600,209800,211200,212900,214100,213500,212800,212000,212800,214500,217300,216500,222800,226400,228300,224900,219700,221700,219500,218200,218600,221200,223100,217500,217900,220800,219500,216700,217300,218000,217200,215200,212600,209500,219700,222800,228400,228400,229500,222100,222100,221800,223900,220800,222600,212700,216900,221500,223800,224100,221500,218800,223000,223700,224000,217400,217600,223700,220300,220500,225700,229200,227500,232900,230800,231000,231800,224400,224800,225200,226900,230700,237800,243200,246800,245700,241300,237000,234800,234400,234800,240700,243000,248900,251900,257000,256100,257700,255700,259400,261500,257400,252800,254300,266500,275600,283700,286500,288900,291300,288800,287800,291900,290300,288100,293400,301400,305700,306000,307700,311600,320200,317500,317200,322100,321400,319600,317400,326100,331900,339200,341500,345500,348600,347100,354300,352600,344200,345200,348300,361700,367500,378800,389000,393800,406700,413100,423400,422500,434100,452100,472600,499400,522000,530700,537000,547500,553300,552000,553300,557300,560700,586100,621600,640800,653800,654100,635300,614300,589900
'Guelph_and_District',253300,256400,257300,260800,265400,262000,262600,263900,266000,264100,263500,265100,265700,270000,269500,272300,273200,274300,271800,275200,277800,277100,276100,273400,276300,278200,281000,282300,287700,287800,285100,288000,292000,289000,292200,287300,290800,294100,300800,300600,301100,299900,302100,300600,299500,300500,295200,291500,291800,292500,292000,295000,298900,298900,298700,301000,301900,305500,305700,306400,309800,314200,321100,320500,323600,324700,324100,319000,329800,328100,320800,315800,323800,328100,332500,334100,332900,336300,332600,332100,338000,336800,334100,340400,338700,343200,350400,354100,357200,360600,362900,364400,361200,358300,360400,362900,363000,366600,368700,375500,383700,378700,379300,378600,381000,384400,380800,375200,376900,385900,388900,390800,394000,394100,393300,393000,398400,397400,395700,395100,398700,405600,407500,414600,415800,419300,418700,418500,422600,420800,417700,421600,432800,437000,451900,452800,463100,462800,469800,476800,486900,499300,500100,503200,515800,541000,563500,580700,581300,567900,567300,553800,552900,554100,555700,563200,560000,573000,584900,582400,580800,580700,581000,577100,584800,591000,591300,578600,588600,601200,607700,611600,619900,613700,608700,613200,621900,619700,615100,630600,641300,660500,675700,666100,664200,674000,694100,719700,724300,742100,755200,764600,828400,846600,878500,883700,887200,898500,897000,893000,920800,934600,973600,990200,1067800,1137700,1119300,1091900,1044400,999200,965700,926300
'Hamilton_Burlington',233600,232800,236400,239700,239500,241500,241200,242000,242700,245100,242200,242400,247200,247400,250800,253500,257200,257600,255500,255500,259200,255200,257100,256500,258900,263100,263300,266500,270900,270800,271900,272400,272300,275100,268700,270900,275500,278700,281000,282900,284600,283300,279600,282000,282700,278200,271800,266200,265700,270500,273100,276200,277700,283300,283600,288400,292300,294700,297600,299700,296600,304000,308600,311000,312900,309000,315500,310800,311500,312400,314900,310900,311700,313600,322500,324000,327300,327500,331500,332800,332200,330100,330300,333800,336000,339900,348100,352200,353300,353900,353700,354600,349100,354700,349300,353300,359100,360800,365900,365400,372400,372800,373900,373400,375500,376100,374400,377600,378900,392300,393400,397600,398700,404100,404000,404800,407700,403300,407300,403900,417600,421500,430900,435600,439900,446400,444500,450700,450200,446600,450200,453400,465300,472900,483100,496500,506400,518000,522600,519900,537700,532400,538100,537700,568500,587900,615900,632700,617900,601300,577400,572300,576800,575600,585100,587100,582600,590400,598100,603400,610200,599600,603900,602900,594000,598600,599600,604300,606100,612200,613800,619900,619000,623000,623000,626300,626600,635900,639800,638800,645400,661800,674400,666600,673900,690900,706300,723000,741000,745300,756400,779000,816700,865400,892800,895800,902600,903900,901600,916500,940600,971300,999100,1027800,1106900,1166000,1151600,1103300,1067100,1004500,945800,923800
'Huron_Perth',156300,156600,156900,157200,157600,157900,159200,160600,162100,162100,162200,162300,163700,165200,166700,166800,166900,167000,169200,171400,173600,171200,168900,166700,170200,173800,177400,177700,178100,178400,179700,180900,182200,180000,177800,175700,175700,175600,175300,179200,183100,187300,185400,183700,181900,181300,181000,180600,179000,177600,176200,177000,177800,178700,180800,182900,185000,184600,184100,183800,185200,189200,190700,189400,192200,193500,193000,192800,190400,191600,192400,196000,202300,192400,189600,193200,192400,196700,195700,193000,195600,193300,193000,194100,193900,196000,188100,195100,196100,196700,194500,195000,195700,194400,195300,193500,198300,198300,198300,205200,207300,209100,207200,206700,207000,203900,204300,203700,206600,210400,206500,208300,207500,211800,213600,214800,215700,215300,215700,212100,216600,209700,218300,223900,224500,222800,218900,220800,226700,227000,226000,219800,226400,224600,227300,225400,224900,230400,231500,234000,234800,238800,245600,243300,240800,241300,244500,253800,257900,266600,266900,261900,260600,262800,267000,266100,267800,272400,281400,288100,295200,301300,302000,300400,302000,301900,308300,308200,307000,317600,315500,327700,333500,336000,332100,344100,345600,353000,345200,350200,346200,363000,362900,365500,372500,378500,391100,397000,408600,412400,422300,425000,441400,467000,488300,511100,529200,544400,550500,543100,550600,549100,564400,572600,598100,631500,667300,671900,652400,633800,591400,572700
'Kawartha_Lakes',194400,200100,202500,201600,204900,206400,197800,205100,199900,191800,198100,193700,201300,202700,211300,212000,217500,209600,212100,212800,211500,208900,211400,205800,207400,207200,208600,215200,212700,217700,220500,218500,216000,216900,217500,216100,212000,221400,218000,227500,224600,228500,218900,223600,219600,215200,218300,211700,199700,205200,209800,203100,211300,219600,212900,218600,219000,220600,221300,230400,216000,217100,223400,221200,225500,224000,230000,225500,221000,227200,228400,211500,218800,217500,222500,221400,234400,228400,232700,232000,223900,218700,223400,218400,225800,214400,220900,231500,230500,236400,239400,240300,236600,237600,238400,244400,240800,230500,238900,229600,240100,239600,242000,244700,250800,239700,247200,247900,252000,248900,246700,249900,247300,253500,253300,253800,253400,246400,248900,256900,245500,241800,245600,254100,262000,268200,275000,272500,270600,269100,268400,255900,272100,260700,281200,283600,293500,299500,297500,313700,308500,318700,325400,320600,318800,346600,360000,390500,390100,394600,368600,359600,366500,357700,369700,366900,361000,366600,382700,371900,383600,373700,377800,388600,383200,362200,372700,375700,391200,381300,377100,394100,385900,407900,409600,411700,416700,397700,399100,392600,398300,411600,419100,408000,431000,449200,451800,477400,477000,496000,517100,507400,515600,549900,576200,616300,618200,654600,637700,633800,654600,674200,697200,720900,727800,794900,809300,825200,806000,730600,698000,683600
'Kingston_and_Area',204600,203300,206600,204700,207600,208400,202900,207100,201300,202200,204200,208000,211500,214500,221100,212200,215200,212800,209900,209100,212300,213600,204900,204500,211000,210700,210800,218800,219200,214200,220900,221300,212300,219200,219600,222300,222200,222700,229700,222000,232400,229900,227100,225000,228700,227700,225600,229000,220400,226100,224100,228200,232300,234800,233800,229600,234900,237500,230900,236600,228000,236700,242800,245300,245800,248600,247900,242400,245000,246700,235300,245200,237800,242600,250700,257200,260000,263800,260200,257500,258200,256800,247300,263900,265100,263700,260400,273700,271300,271500,271300,270300,262500,275700,266300,267700,272300,266600,272300,277400,271300,268900,265500,268600,271700,269000,275100,263500,258500,269700,276400,285100,280000,277400,275200,279900,275700,279400,268900,275000,275400,280400,282500,283100,285800,282300,273700,276900,279500,284500,274600,274900,265300,274600,278300,290500,290700,286400,288500,288600,281600,283300,282500,293000,289200,296600,307300,304000,309500,313200,305400,313700,307100,308600,312200,330300,332000,326000,326700,328700,333900,341600,338200,335000,341800,340500,347000,345100,344700,350300,358100,365900,363100,360700,369500,371100,375100,371300,375300,368600,372400,383900,390700,382200,396700,405700,415900,427200,428100,431100,441900,446900,474000,505300,515800,525900,535000,534100,524500,544200,537600,546200,565400,571000,611500,657400,668500,636400,628300,598700,574000,569900
'Kitchener_Waterloo',214700,220500,221800,226100,225400,224600,229700,226400,229000,229300,228400,231500,231200,235600,236800,241700,245000,241400,242600,244200,243200,242900,239900,240300,243800,246500,247600,249900,252200,251400,253200,257500,258300,257000,261300,260200,262800,267900,268600,269300,273200,271100,270700,269900,270800,268700,269800,266300,263300,264800,267100,267000,269500,272600,276600,277500,273000,282000,278500,278600,282500,286000,287200,291800,294000,294200,296000,287600,287100,287300,285400,288800,290300,291700,298800,299000,299000,299200,299700,299500,294300,294000,296400,295000,296200,297900,304200,303700,306800,308400,308500,302100,297800,302400,304000,297600,305500,306800,314100,314700,317600,315600,315600,314800,314400,312600,312800,315600,312200,318700,319800,322200,321800,327800,324500,325000,322900,326100,323100,323000,335300,331300,335600,338300,346300,343100,341500,345200,346500,346100,351700,352900,363700,371700,377900,381700,390800,394600,398700,404400,410600,422800,429700,434600,453600,483200,501100,518900,506500,483200,474800,466700,474900,472500,484800,485700,495100,511700,517300,513000,511800,510400,514200,511600,513600,509000,513600,501500,525300,525800,541900,544600,540400,547500,547600,551100,558700,560900,562300,579100,597600,612900,606800,579600,602700,620100,629100,640800,651600,661100,681600,715100,751500,797400,825500,819300,825400,832700,833600,848600,881900,899000,928400,956900,1065300,1093400,1054800,994200,945800,876600,827100,815000
'Lakelands',226000,226100,227200,226600,229300,229800,230400,232300,233700,233600,230000,232600,235900,234900,239700,244900,249000,252000,250100,247900,249600,246200,247400,244800,246400,249100,249100,255000,256000,259300,261200,263700,263100,261500,257200,258500,254200,259500,264900,265600,269700,267100,265800,264600,264200,259700,254500,249900,253000,251600,246900,254200,254400,258300,260100,260300,261500,262500,258800,260400,251800,251900,265100,264000,270800,269400,269800,272200,268000,272600,269000,265800,257400,260300,261200,264300,276400,281800,279600,280700,279200,277600,278900,274100,281100,272700,280700,280300,283100,282700,287700,290500,288000,284100,285600,285700,273300,273900,282400,284700,290400,296000,291200,291800,287700,284700,289700,286100,283200,284500,291200,291700,290200,297700,296700,303300,297200,296500,294100,296000,288600,298300,299200,307800,309200,315100,309100,312500,314500,312900,307400,312200,306600,311800,324800,333300,339300,341100,346700,355700,352700,361100,363600,368700,363700,384000,404700,420800,435400,434900,432200,423500,418600,422100,423900,429100,414600,430500,436100,445900,449300,448900,444500,442000,438500,437800,437300,436400,427500,432900,442000,443200,454600,461200,462700,452200,452600,447300,442100,446500,443300,447100,459800,473700,479300,496900,503500,516600,534600,553000,556300,559300,595000,635500,682100,708200,713300,722800,705900,704100,714100,709600,725400,739100,785300,845600,865800,853800,833600,802400,759600,746200
'London_St_Thomas',163000,168400,168600,172200,172500,172600,172400,172400,173700,172400,174300,173600,174700,177400,182000,180100,182500,182700,182900,182600,182900,181000,183900,180900,183000,185000,189600,191900,191800,194500,193000,192500,195400,192000,191600,193600,196800,197900,197700,202200,200100,200300,201400,200600,197700,197800,195800,190500,192600,192100,195200,196900,197000,199600,201600,203000,202800,205000,203700,201600,208100,205800,209200,211700,212600,213100,207500,210800,210200,207900,206700,207500,208900,209300,213000,213800,214600,214900,213400,214200,213800,213200,207100,213900,212800,216300,219500,218800,221000,219300,221100,218300,215500,215000,218500,213400,218800,219700,223800,225900,223100,224100,224100,226000,222500,221400,221800,220700,225700,228900,227300,227600,229800,229800,232600,233700,232600,228400,227300,227500,231900,232500,234100,237000,239400,242400,240400,241200,243100,238700,239000,242100,242200,249100,250300,252100,259200,260600,262600,261800,267500,268000,268400,268900,273600,281200,295300,315300,325300,319700,313200,311800,313400,321300,325900,336900,340000,351700,357100,358100,367600,368900,365000,367800,366100,374600,370400,376900,384100,386200,393400,398800,400700,401400,402300,400800,401300,409200,408100,417000,428800,429100,435800,428300,433300,442900,464300,473800,484800,498500,512900,534200,565600,597900,629700,642600,640200,631300,632200,637300,648100,666300,683900,712400,786200,837600,826500,783100,749100,689000,662300,637600
'Mississauga',380200,379600,382300,382500,382700,384700,383700,388500,384700,388500,393300,389300,393400,396200,401100,406200,406500,408000,410900,409600,411800,410600,406400,405300,413000,415600,418800,423100,430100,436300,435300,437800,442400,442400,441400,440200,446200,448800,453300,454800,452000,451700,448400,443700,439600,434300,423900,416200,425100,420100,418100,426400,435300,445300,448200,460000,458800,471600,473300,475700,488900,493300,500000,504200,501400,498200,494900,499000,494700,497300,502500,495600,515500,517500,524600,533700,538900,540400,538800,544600,543700,553300,552000,553900,556700,565500,579300,584500,591100,590100,585000,586300,585400,586200,594200,580400,586800,595500,602600,611500,609800,609000,614500,615000,623000,621700,615300,630500,623300,639800,645600,662100,670700,671000,668900,668700,669200,665200,672100,674000,665700,692000,720000,740900,739300,737600,730700,743300,749300,743200,752600,747700,782900,775100,795100,815100,842600,854700,872000,881900,883600,902200,921800,915900,1001100,1057700,1099900,1093800,1053000,1021500,992700,978600,965900,970600,953600,942800,964600,956100,976800,975700,985500,992800,983300,982000,973600,986200,971500,987000,989800,1000800,1002700,1027800,1025600,1037900,1043900,1039900,1034900,1030600,1035500,1045300,1062200,1124100,1117700,1097800,1091800,1113300,1130900,1144900,1167700,1160400,1184400,1178500,1231400,1316100,1347000,1366900,1376700,1371000,1421900,1429700,1446200,1456700,1490600,1511700,1627700,1716000,1718900,1642900,1593400,1492000,1415400,1380800
'Niagara_Region',174500,175300,176600,178600,179400,180000,181800,180900,184200,181300,182400,184100,183200,185000,187900,189400,190400,191100,191900,192600,191200,190800,189500,190700,190500,192400,194400,196500,198300,200100,201000,201000,201800,202100,201000,200100,197100,201200,202100,203100,204900,203700,205200,205300,206300,202400,202000,200800,197100,198000,196300,199700,199200,201000,203300,203900,205700,206800,208000,203100,206400,206300,209300,213700,215200,213200,211600,211100,209900,209100,206400,208800,207400,212500,211300,215200,217700,218700,220200,218500,215900,216800,216400,215800,215700,218200,219700,223500,225700,224400,225300,225900,222900,223600,222100,223800,221400,223200,226600,230400,231900,232900,232300,232400,229000,233500,230100,230300,233000,236100,235800,240400,243500,243900,244900,242300,241600,242800,242900,243300,244600,248600,249700,256400,259400,262200,262500,263700,265500,266100,268200,266600,269000,274800,279400,287800,294800,302100,306300,311300,315600,324100,327400,330200,339400,351700,374100,389500,396300,396800,384100,378900,380600,382600,382200,383100,381500,389500,392100,399600,403600,402800,404600,403700,401800,408500,403400,402100,405100,407200,410000,418200,425000,429600,429500,427700,432100,432200,436500,438700,444200,455600,466500,466300,467500,474300,488600,499800,509000,520400,531200,548600,574900,613400,641700,658500,663000,671400,669200,675600,683000,698300,720500,737900,785600,830800,841400,827500,809100,769300,730900,701600
'North_Bay',134600,137100,139600,142100,144700,147400,147400,147400,147500,145700,144000,142200,147100,152200,157500,159100,160700,162300,161500,160700,159900,158500,157200,156000,161200,166600,172200,172700,173200,173800,175800,177800,179900,180200,180500,180900,182600,183900,185600,186700,186800,187400,190200,192500,195900,191500,187800,183600,185300,186800,188000,191200,193600,196100,195700,195600,195300,196800,198400,200200,201200,203300,204900,207100,206300,210100,207900,209200,206900,201600,197200,198800,203000,211500,211400,216300,221700,222600,218300,218800,214500,214800,208400,209600,203500,196900,210800,213700,219100,216800,216900,210800,213300,209600,207500,204400,204400,208900,215100,216600,216800,216600,213000,211400,210300,211300,208200,207600,201300,195700,203500,203800,209300,217000,210900,209900,209000,206500,199200,197700,198200,195900,201600,207600,211200,210400,209400,206900,202100,204400,202500,196600,197100,201600,207900,206900,208400,209600,212500,212200,209400,213000,209400,210200,213500,212600,211900,212700,221300,224600,225700,225400,222700,218100,209800,206800,208500,208700,212200,211500,220800,221400,223300,223300,223300,223800,212700,211600,213500,222000,222600,226400,228100,231500,232300,234300,233200,229000,224900,220100,219900,221400,222700,228900,231600,243300,255600,262100,266500,269900,269400,276800,281000,304100,323400,341200,349000,353700,351500,345000,344500,358100,371100,386800,406000,433500,463000,475600,459600,437300,409000,390700
'Northumberland_Hills',207700,207400,207000,206600,206300,205900,208600,211400,214100,213000,212000,211000,212700,214600,216500,217400,218400,219300,219300,219200,219200,216200,213200,210300,212700,215200,217600,221600,225700,229800,228400,227000,225600,227600,229700,231900,231100,230200,229200,230500,232100,233500,231400,229000,226800,225100,223300,221400,219200,217100,215200,219400,224200,228400,228000,227300,226700,226800,226300,226300,229000,218800,230700,227000,232200,235600,240200,242100,236200,236000,221900,226000,223100,232900,234800,235000,238300,242000,247300,247200,242400,234200,234200,235600,239600,239500,245100,243700,241600,241100,239500,237800,235800,242900,241900,239600,243800,244000,254900,251100,257800,258300,262200,264900,267200,264800,257400,250900,245400,250600,251400,255400,260800,263700,270000,272800,277100,278900,274500,270600,261600,269400,286000,291700,298900,298400,302800,306400,303200,298200,297400,303300,302900,304700,311000,322900,328200,337000,345600,353700,362100,363800,366600,362100,361100,390900,420200,439500,443700,444700,441700,425300,424900,415700,414800,412300,407700,411200,416000,426400,426500,434100,428100,429300,419500,423600,427900,424400,421700,430600,424500,433200,438900,454600,456300,466600,460000,463900,448700,450000,451300,473000,472800,483100,475800,483700,510700,525400,544000,550600,562300,571200,593700,620500,657400,674800,674000,678600,682000,685800,700900,715500,742400,765500,808400,857300,904400,883200,872200,797500,756500,732700
'Oakville_Milton',409600,417000,426100,426800,427900,432600,426300,432300,431700,439300,434400,441300,444200,448100,458500,463000,460200,458100,457500,459100,465500,461200,459200,456400,465500,473400,474900,479800,485900,486000,487400,492900,489000,491100,497000,495800,505500,507200,503500,505200,505300,507000,501700,500700,495900,479000,488700,462900,469300,464800,463500,474100,488900,500100,497400,506900,516300,527200,534400,530700,546200,564300,560000,556000,556800,558300,542100,547000,554300,540000,542200,556500,556500,569100,571900,579400,583600,582900,589100,587300,606100,598700,587700,596200,607500,612000,616900,625500,627400,621100,635900,629200,633900,623100,632300,619100,633300,647100,652000,666100,661700,656800,664300,668100,665200,685700,686400,672700,691300,692200,699600,711700,723400,717900,722200,731500,723000,727100,726900,752900,741800,760000,752300,772100,771300,776700,788800,789200,786300,780600,805300,784200,823800,839600,871600,877600,908200,925100,932800,940000,965700,967800,985500,988100,1049700,1133700,1188200,1145700,1098700,1071300,1017700,1022400,1024900,1014700,1015700,997600,1007100,1033900,1039800,1037800,1027000,1029600,1013200,1025500,1022400,1017700,1014900,1028100,1031800,1033000,1033200,1046500,1047000,1044800,1054300,1047600,1038800,1047600,1043900,1059500,1067200,1093100,1127500,1099400,1101500,1129600,1115500,1137700,1163300,1155500,1179900,1218800,1313300,1375200,1383600,1391800,1374600,1406200,1401800,1442400,1500200,1590400,1637400,1678000,1854100,1910100,1846700,1734800,1645100,1578000,1472700,1462900
'Ottawa',257200,258900,258800,260600,260600,261100,260400,259200,258000,259200,258700,259700,263300,264800,268200,270300,272500,272300,273200,274000,275200,274500,273600,273900,277800,281300,283300,286200,288800,291600,292600,292600,294500,295700,297500,299800,300800,301800,303400,308100,310600,313700,313200,312900,312400,308500,304700,302900,304300,305800,308300,311600,313800,317100,320000,323300,325700,328000,330000,331200,335500,338000,341200,346700,349500,348400,347800,347900,346700,344700,345700,344700,350600,354400,361800,363000,365900,366000,365200,363800,364100,363900,362600,361500,362600,368400,373600,376200,375000,374500,374700,369800,366700,367500,364700,364000,368500,368000,371800,377000,378600,379900,377500,379400,377900,375900,373500,369900,370000,374400,379500,383300,385000,386700,384300,383500,379100,377800,376000,371700,371700,379000,382200,387200,390500,390300,389300,386700,385100,382400,381400,378400,380600,384600,388000,392200,395600,396000,397300,397500,395100,392900,392900,391400,393400,400300,406900,409700,413600,417300,420300,420700,423000,422400,423300,423200,425200,431300,439400,443800,446200,447700,447900,447200,449200,450900,448600,452800,451200,460000,466700,474800,477800,482500,485500,489400,490900,493500,499500,501800,512000,536600,547300,538200,550600,555200,568100,585100,597800,601600,609100,621700,653600,691200,720800,730200,735400,727800,715800,706000,701500,709200,713300,727000,771400,810200,826200,820200,807200,786200,763100,735300
'Peterborough_and_Kawarthas',204100,206100,208200,210300,212400,214600,214000,213400,212800,212600,212500,212400,215200,218100,221000,220700,220500,220200,220100,219900,219800,219500,219300,219000,220200,221400,222700,225100,227700,230300,231400,232500,233600,231800,230100,228400,230100,231800,233600,234300,235000,235500,234600,233400,232900,231300,229300,227100,226200,224900,223300,225700,227600,230000,231100,232500,233400,235000,236700,238500,233200,237200,239700,244400,244100,244000,247000,248800,246700,240100,241400,234600,241500,238900,239200,247100,247700,251300,246500,245900,244900,246500,245300,244000,238900,242200,245400,247100,249800,251800,252700,256000,254500,255000,255300,252300,252800,249500,254700,258700,262000,259600,260400,256700,256600,253700,256200,253500,253100,258800,261200,265600,265400,271700,271100,269600,265600,263500,265900,263100,262300,257300,261300,263800,271500,277600,282000,283100,281800,280500,282800,282200,281800,280100,287700,291800,297500,305100,312000,318400,319600,327700,322600,329500,329600,340700,358400,375600,386200,393900,387000,380100,373900,375900,379000,379600,382300,385900,404200,406500,418300,418700,425100,423000,418500,422800,417500,423000,421400,425300,429500,429900,437600,438500,441900,446100,435600,438500,433400,435900,432700,436800,447700,456800,457200,464700,469700,478300,494300,501500,507600,517200,534300,559800,585700,612400,623000,635400,629700,639100,648500,663600,673500,682500,712900,765200,802500,792800,793800,760300,741500,713800
